number substitution?,ID#,grade,Category,Question,Answer,,
NO,1,3,Geometry ,Name three shapes that have 4 sides?,"ex. square, rectangle diamond, kite rhombus parralelagram, trapazoid",,
NO,2,4,Geometry ,Name two quadralaterals?,"ex. square, rectangle diamond, kite rhombus parralelagram, trapazoid",,
NO,3,3,Geometry ,What is the name of a shape with 3 sides?,triangle,,
NO,4,3,Geometry ,What is the name of a shape with 4 sides?,Quadralateral,,
NO,5,3,Geometry ,What is the name of a shape with 5 sides?,pentagon,,
NO,6,3,Geometry ,What is the name of a shape with 6 sides?,hexagon ,,
NO,7,3,Geometry ,What is the name of a shape with 7 sides?,heptagon,,
NO,8,3,Geometry ,What is the name of a shape with 8 sides?,octagon ,,
NO,9,3,Geometry ,What is the name of a shape with 9 sides?,nonagon,,
NO,10,3,Geometry ,What is the name of a shape with 10 sides?,decagon,,
NO,11,3,Geometry ,How many sides does a decagon have?,10,,
NO,12,3,Geometry ,How many sides does a nonagon have?,9,,
NO,13,3,Geometry ,How many sides does a octogon have?,8,,
NO,14,3,Geometry ,How many sides does a septagon have?,7,,
NO,15,3,Geometry ,How many sides does a hexagon have?,6,,
NO,16,3,Geometry ,How many sides does a pentagon have?,5,,
NO,17,3,Geometry ,How many sides does a quaduralateral have?,4,,
NO,18,3,Geometry ,How many sides does a triangle have?,3,,
YES,19,4,Geometry ,what is the perimiter of a rectagle with a Length of x any a width of y?,2(x+y),,
YES,20,4,Geometry ,what is the perimiter of a square with a side length of x?,4x,,
NO,21,4,Geometry ,what are parralel lines?,lines that will never touch,,
NO,22,4,Geometry ,what are perpendicular lines?,lines that meet to create 4 90  degree angles,,
NO,23,4,Geometry ,Name two charicteristics of a square.,"4 sides, all sides same length, right angles, 2 pairs of parralel sides",,
NO,24,4,Geometry ,Name two charicteristics of a rectangle.,"4 sides, 2 differnt side lengths, right angles, 2 pairs of parralel sides",,
NO,25,4,Geometry ,Name two charicteristics of a paralelagram.,"4 sides, 2 differnt side lengths, 2 pairs of parralel sides",,
NO,26,4,Geometry ,Name two charicteristics of a rhombus.,"4 sides, all sides the same length, 2 pairs of parralel sides",,
NO,27,4,Geometry ,Name two charicteristics of a kite.,"4 sides, 2 differnt side lengths, no parralel sides",,
NO,28,4,Geometry ,Name two charicteristics of a trapazoid.,"4 sides, 2 differnt side lengths, one pair of paralel sides",,
YES,29,5,Geometry ,what is the area of a rectagle with a Length of x any a width of y?,x*y,,
YES,30,5,Geometry ,what is the area of a square with a side length of x?,x^2,,
NO,31,5,Geometry ,define diameter,"a straight line passing from side to side through the center of a body or figure, especially a circle or sphere.",,
NO,32,5,Geometry ,define radius,a straight line from the center to the circumference of a circle,,
NO,33,5,Geometry ,define circumfrence,the distance around the outside of a circle,,
NO,34,5,Geometry ,define chord of a circle,A line segment joining any two points on the circumference of the circle.,,
NO,35,5,Geometry ,define acute angle,An angle less than 90 degrees,,
NO,36,5,Geometry ,define a right angle ,A 90 degree angle ,,
NO,37,5,Geometry ,define an obtuse angle,An angle more than 90 degrees,,
