number substitution?,,grade,Category,Question,Answer,,
YES,,3,Fractions,What is a/x+b/x?,a+b/x,,
YES,,3,Fractions,Which fraction is larger 1/x or 1/y,,,
YES,,3,Fractions,What is half of X?,x/2,,
YES,,4,Fractions,What is x*2/y*2 in lowest terms?,x/y,x y possibilites,"1,2,3,5,7"
YES,,4,Fractions,What is x*3/y*3 in lowest terms?,x/y,x y possibilites,"1,2,3,5,7"
YES,,4,Fractions,What is x*5/y*5 in lowest terms?,x/y,x y possibilites,"1,2,3,5,7"
YES,,4,Fractions,Name an equivalent fractions for x/y,x/y,x y possibilites,"1,2,3,5,7"
YES,,5,Fractions,What is x y/z as a improper fraction?,x*z +y/z,x y possibilites,"1,2,3,5,7"
YES,,5,Fractions,Which fraction is larger a/x or b/y,,all possibities less than 7,
NO,,3,Geometry ,Name three shapes that have 4 sides?,"ex. square, rectangle diamond, kite rhombus parralelagram, trapazoid",,
NO,,4,Geometry ,Name two quadralaterals?,"ex. square, rectangle diamond, kite rhombus parralelagram, trapazoid",,
NO,,3,Geometry ,What is the name of a shape with 3 sides?,triangle,,
NO,,3,Geometry ,What is the name of a shape with 4 sides?,Quadralateral,,
NO,,3,Geometry ,What is the name of a shape with 5 sides?,pentagon,,
NO,,3,Geometry ,What is the name of a shape with 6 sides?,hexagon ,,
NO,,3,Geometry ,What is the name of a shape with 7 sides?,heptagon,,
NO,,3,Geometry ,What is the name of a shape with 8 sides?,octagon ,,
NO,,3,Geometry ,What is the name of a shape with 9 sides?,nonagon,,
NO,,3,Geometry ,What is the name of a shape with 10 sides?,decagon,,
NO,,3,Geometry ,How many sides does a decagon have?,10,,
NO,,3,Geometry ,How many sides does a nonagon have?,9,,
NO,,3,Geometry ,How many sides does a octogon have?,8,,
NO,,3,Geometry ,How many sides does a septagon have?,7,,
NO,,3,Geometry ,How many sides does a hexagon have?,6,,
NO,,3,Geometry ,How many sides does a pentagon have?,5,,
NO,,3,Geometry ,How many sides does a quaduralateral have?,4,,
NO,,3,Geometry ,How many sides does a triangle have?,3,,
YES,,4,Geometry ,what is the perimiter of a rectagle with a Length of x any a width of y?,2(x+y),,
YES,,4,Geometry ,what is the perimiter of a square with a side length of x?,4x,,
NO,,4,Geometry ,what are parralel lines?,lines that will never touch,,
NO,,4,Geometry ,what are perpendicular lines?,lines that meet to create 4 90  degree angles,,
NO,,4,Geometry ,Name two charicteristics of a square.,"4 sides, all sides same length, right angles, 2 pairs of parralel sides",,
NO,,4,Geometry ,Name two charicteristics of a rectangle.,"4 sides, 2 differnt side lengths, right angles, 2 pairs of parralel sides",,
NO,,4,Geometry ,Name two charicteristics of a paralelagram.,"4 sides, 2 differnt side lengths, 2 pairs of parralel sides",,
NO,,4,Geometry ,Name two charicteristics of a rhombus.,"4 sides, all sides the same length, 2 pairs of parralel sides",,
NO,,4,Geometry ,Name two charicteristics of a kite.,"4 sides, 2 differnt side lengths, no parralel sides",,
NO,,4,Geometry ,Name two charicteristics of a trapazoid.,"4 sides, 2 differnt side lengths, one pair of paralel sides",,
YES,,5,Geometry ,what is the area of a rectagle with a Length of x any a width of y?,x*y,,
YES,,5,Geometry ,what is the area of a square with a side length of x?,x^2,,
NO,,5,Geometry ,define diameter,"a straight line passing from side to side through the center of a body or figure, especially a circle or sphere.",,
NO,,5,Geometry ,define radius,a straight line from the center to the circumference of a circle,,
NO,,5,Geometry ,define circumfrence,the distance around the outside of a circle,,
NO,,5,Geometry ,define chord of a circle,A line segment joining any two points on the circumference of the circle.,,
NO,,5,Geometry ,define acute angle,An angle less than 90 degrees,,
NO,,5,Geometry ,define a right angle ,A 90 degree angle ,,
NO,,5,Geometry ,define an obtuse angle,An angle more than 90 degrees,,
NO,,5,Geometry ,Name two properties of an equalateral triangle,"3equal sides, 3 equal angles ",,
NO,,5,Geometry ,Name two properties of an isosoless triangle,"2 equal sides, 2 equal angles ",,
NO,,5,Geometry ,Name two properties of an scalene triangle,"0 equal sides, 0 equal angles",,
NO,,5,Geometry ,What is the sum of the interior angles of all triangles?,180 degrees,,
NO,,3,Money,If you have a dollar and spend 25 cents how much money do you have left?,75 cents,,
NO,,3,Money,If you have a dollar and spend 50 cents how much money do you have left?,50,,
NO,,3,Money,If you have a dollar and spend 75 cents how much money do you have left?,25,,
YES,,3,Money,x dimes is euqal to how many Nickles?,x*2,,
YES,,3,Money,x quarters euqal to how many Nickles?,x*5,,
NO,,3,Money,If you have a dollar and spend 10 cents how much money do you have left?,90 cents,,
NO,,3,Money,If you have a dollar and spend 20 cents how much money do you have left?,80 cents,,
NO,,3,Money,If you have a dollar and spend 30 cents how much money do you have left?,70 cents,,
NO,,3,Money,If you have a dollar and spend 40 cents how much money do you have left?,60cents,,
NO,,3,Money,If you have a dollar and spend 50 cents how much money do you have left?,50 cents,,
NO,,3,Money,If you have a dollar and spend 60 cents how much money do you have left?,40 cents,,
NO,,3,Money,If you have a dollar and spend 70 cents how much money do you have left?,30 cents,,
NO,,3,Money,If you have a dollar and spend 80 cents how much money do you have left?,20 cents,,
NO,,3,Money,If you have a dollar and spend 90 cents how much money do you have left?,10 cents,,
YES,,4,Money,x quarters euqal to how many Dimes?,,x must be even,
NO,,4,Money,If you have a dollar and spend 5 cents how much money do you have left?,95 cents,,
NO,,4,Money,If you have a dollar and spend 15 cents how much money do you have left?,85 cents,,
NO,,4,Money,If you have a dollar and spend 25 cents how much money do you have left?,75 cents,,
NO,,4,Money,If you have a dollar and spend 35 cents how much money do you have left?,65 cents,,
NO,,4,Money,If you have a dollar and spend 45 cents how much money do you have left?,55 cents,,
NO,,4,Money,If you have a dollar and spend 55 cents how much money do you have left?,45 cents,,
NO,,4,Money,If you have a dollar and spend 65 cents how much money do you have left?,35 cents,,
NO,,4,Money,If you have a dollar and spend 75 cents how much money do you have left?,25 cents,,
NO,,4,Money,If you have a dollar and spend 85 cents how much money do you have left?,15 cents,,
NO,,4,Money,If you have a dollar and spend 95 cents how much money do you have left?,5 cents,,
YES,,5,Money,If you spend x.yz and give the cashier $20 how much change do you get back?,20-x.yz,,
YES,,5,Money,If you spend x.yz and give the cashier $10 how much change do you get back?,10-x.yz,,
Yes,,5,Money,How many nickles are there in $X*.05?,X,,
Yes,,5,Money,How many dimes are there in $X*.10?,X,,
Yes,,5,Money,How many quarters are there in $X*.25?,X,,
YES,,3,Number Facts,x*0=,0,x= 1:10,
YES,,3,Number Facts,X*1=,x,x= 1:10,
YES,,3,Number Facts,x*2=,2*x,x= 1:10,
YES,,3,Number Facts,x*5=,5*x,x= 1:10,
YES,,3,Number Facts,x*10=,10*x,x= 1:10,
YES,,3,Number Facts,x+y,x+y,"x,y= 4:9",
YES,,4,Number Facts,x-y,x-y,"x,y= 3:9 X must be bigger",
YES,,4,Number Facts,X*3=,3x,x=1:13,
YES,,4,Number Facts,X*4=,4x,"x, y=2:30",
YES,,4,Number Facts,x*6=,6x,"x,y =2:12",
YES,,4,Number Facts,x*7,7x,,
YES,,4,Number Facts,x*8,8x,,
YES,,4,Number Facts,x*9,9x,,
YES,,5,Number Facts,x*11,11x,,
YES,,5,Number Facts,x*12,12x,,
YES,,5,Number Facts,X/Y,x/y,x needs to be multiple of y,
YES,,5,Percents,What is x% of 150?,x*1.5,,
YES,,5,Percents,What is x% of 250?,x*2.5,,
YES,,5,Percents,What is x% of 350?,x*3.5,,
YES,,5,Percents,What is 150% of X?,x*1.5,,
YES,,5,Percents,What is 250% of X?,x*2.5,,
YES,,5,Percents,What is 350% of X?,x*3.5,,
YES,,3,Percents,What is x% of 100?,x,,
YES,,3,Percents,What is 50% of x?,x/2,,
YES,,3,Percents,What is 100% of x?,x,,
NO,,3,Percents,What does 100% mean?,All of it,,
NO,,3,Percents,What does 50% mean?,Half of it,,
NO,,3,Percents,What does 0% mean?,None of it,,
YES,,4,Percents,What is 75% of x?,3x/4,,
YES,,4,Percents,What is 25% of x?,x/4,,
YES,,4,Percents,What is 200% of x?,2 *x,,
YES,,4,Percents,What is 300% of x?,3 *x,,
YES,,4,Percents,What is 400% of x?,4 *x,,
YES,,4,Percents,What is 500% of x?,5 *x,,
YES,,4,Percents,What is 600% of x?,6 *x,,
YES,,4,Percents,What is 700% of x?,7 *x,,
YES,,4,Percents,What is 800% of x?,8 *x,,
YES,,4,Percents,What is 900% of x?,9 *x,,
YES,,4,Percents,What is 1000% of x?,10 *x,,
YES,,3,Mental Math,What is double x?,2x,,
NO,,3,Mental Math,99+99+99,297,,
NO,,4,Mental Math,98+98+98,294,,
YES,,4,Mental Math,What is X00/25?,x*4,,
YES,,5,Mental Math,99*X,X+100-X,X=3:9,
YES,,5,Mental Math,What is x*y*z,x*y*z,x<10,
,,5,Mental Math,What is the value x+y times Z?,(x+y)*z,x<10,
,,3,ReasonGroups,How many eyes do x people have?,2x,,
,,3,ReasonGroups,How many legs do x dogs have?,4x,,
,,3,ReasonGroups,How many ears do x cats have?,3x,,
,,3,ReasonGroups,If you see x*4 legs how many horses are there?,x,,
,,3,ReasonGroups,How many tires do x cars have?,4x,,
,,4,ReasonGroups,If x candies cost 25 cents how many can you buy for $1,X*4,,
,,4,ReasonGroups,If x candies cost 50 cents how many can you buy for $2,x*4,,
,,4,ReasonGroups,If x candies cost 50 cents how many can you buy for $1,x*2,,
,,4,ReasonGroups,If x candies cost 25 cents how many can you buy for $2,X*8,,
Yes,,3,ReasonGroups,If a lap takes x minutes how many laps can be run in an hour?,60/x,"3,5,6,20,12,20",
